,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
331,854,5162,Prof Sandrine Kulas,Mr,Male,4,Married,38,2021-02-01,2022-08-30,Inactive,2022-08-30,,,Labour,Contarct Basis,Catholic,Office Assistant,1987.0
332,855,75253,Rebecca Kuvalis III,Mr,Male,3,Single,31,2019-12-01,,Inactive,2020-05-19,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1997.0
333,858,75258,Dr Jadon Rempel,Mr,Male,3,Married,122,2019-12-25,2022-10-31,Inactive,2022-10-31,,,Labour,Contarct Basis,Hindu,Security,1949.0
334,859,75259,Kaylin Aufderhar IV,Mr,Male,3,Single,122,2019-12-29,2022-08-31,Inactive,2022-08-31,,,Labour,Contarct Basis,Hindu,Security,1995.0
335,860,5039,Layne Bins MD,Mr,Male,1,Single,30,2020-01-11,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1966.0
336,861,199003,Charlene Harris,Mr,Male,1,Married,1,2020-01-12,,Inactive,2020-03-31,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1966.0
337,863,199005,Mortimer Walter,Mr,Male,1,Married,30,2020-01-26,,Inactive,2020-03-31,,,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1974.0
338,864,199006,Maya King,Mr,Male,3,Single,122,2020-01-30,2021-04-24,Inactive,2021-04-24,,,Labour,Contarct Basis,Hindu,Security,1993.0
339,866,199008,Chanelle Konopelski,Mr,Male,4,Single,122,2020-02-01,2022-07-06,Inactive,2022-07-06,,,Labour,Contarct Basis,Catholic,Security,1993.0
340,867,199009,Irwin Treutel,Mr,Male,3,Married,122,2020-02-01,,Inactive,2020-05-30,,,Labour,Contarct Basis,Hindu,Security,1973.0
341,869,199013,Dr Milford Gerlach Sr,Mr,Male,3,Single,122,2020-02-11,2021-11-30,Inactive,2021-11-30,,,Labour,Contarct Basis,Hindu,Security,1993.0
342,870,199014,Louvenia Gerlach,Mr,Male,3,Married,30,2020-02-13,,Inactive,2020-03-31,,,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1974.0
343,871,5080,Prof Royal Koelpin,Mr,Male,3,Single,38,2020-02-15,2021-12-31,Inactive,2021-12-31,,,Labour,Contarct Basis,Hindu,Office Assistant,1994.0
344,872,4976,Antonetta Littel,Ms,Female,1,Married,134,2020-06-01,,Active,,,,Labour,Contarct Basis,Buddhist,Caretaker,1981.0
345,873,70096,Prof Nicolas Cronin,Mr,Male,1,Married,31,2019-09-24,,Inactive,2020-06-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970.0
346,875,5144,Prof Marie Sporer Sr,Mr,Male,1,Married,31,2019-09-23,2021-07-26,Inactive,2021-07-26,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1989.0
347,877,70110,Margie Tremblay,Mr,Male,1,Single,31,2019-09-10,2020-11-26,Inactive,2020-11-26,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992.0
348,878,5148,Dennis Miller,Mr,Male,1,Married,31,2019-09-09,2022-03-14,Inactive,2022-03-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984.0
349,879,70129,Dean Strosin,Mr,Male,1,Married,29,2019-09-02,2021-03-21,Inactive,2021-03-21,,,Labour,Contarct Basis,Buddhist,Cook,1979.0
350,880,75031,Constance McClure,Mr,Male,1,Married,135,2019-10-06,,Active,,,,Labour,Contarct Basis,Buddhist,Wacher,1963.0
351,882,75032,Miss Judy Carroll III,Mr,Male,1,Married,135,2019-10-08,2022-04-22,Inactive,2022-04-22,,,Labour,Contarct Basis,Buddhist,Wacher,1960.0
352,886,75246,Mr Gaston Wintheiser,Mr,Male,1,Married,31,2019-12-13,2020-12-20,Inactive,2020-12-20,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0
353,889,4997,Danika Collier,Mr,Male,1,Married,31,2020-06-01,,Inactive,2021-06-01,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977.0
354,890,5226,Mr Schuyler Fritsch Jr,Mr,Male,1,Married,31,2021-03-01,2022-03-14,Inactive,2022-03-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0
355,891,5029,Alyce Littel,Mr,Male,1,Married,31,2020-01-23,2022-03-14,Inactive,2022-03-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1980.0
356,892,197004,Mr Christ Schinner,Mr,Male,1,Married,31,2020-01-28,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
357,894,5030,Dr Destany Rempel,Mr,Male,1,Married,31,2020-01-28,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1963.0
358,895,5031,Eric Luettgen,Mr,Male,1,Married,31,2020-01-28,2021-10-31,Inactive,2021-10-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986.0
359,896,5032,Jed Hermann MD,Mr,Male,1,Married,31,2020-01-28,2022-03-14,Inactive,2022-03-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1980.0
360,897,5033,Sonia Stoltenberg I,Mr,Male,1,Married,31,2020-01-28,2021-01-28,Inactive,2021-01-28,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982.0
361,898,5034,Dean Kohler,Mr,Male,1,Married,31,2020-01-28,2021-01-29,Inactive,2021-01-29,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968.0
362,899,5035,Alysa Schimmel,Mr,Male,1,Married,31,2020-01-28,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0
363,900,5036,Gussie Beahan MD,Mr,Male,1,Married,31,2020-01-28,2022-03-30,Inactive,2022-03-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983.0
364,901,197013,Mrs Heloise Kovacek,Mr,Male,1,Married,31,2020-01-28,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986.0
365,902,5071,Ms Elta Hoeger III,Mr,Male,1,Married,31,2020-02-19,2022-03-30,Inactive,2022-03-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1989.0
366,905,5076,Isabelle Turner,Mr,Male,1,Married,31,2020-02-21,2022-03-14,Inactive,2022-03-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1975.0
367,906,5072,Dave Bernhard,Mr,Male,1,Married,31,2020-02-19,2022-03-02,Inactive,2022-03-02,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985.0
368,907,197020,Kacie Rippin PhD,Mr,Male,1,Married,134,2020-02-05,2021-03-31,Inactive,2021-03-31,,,Labour,Contarct Basis,Buddhist,Caretaker,1952.0
369,908,4975,Prof Oswaldo Collins,Mr,Male,1,Married,30,2020-06-01,,Active,,,,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1984.0
370,910,4979,Sheila Toy,Mr,Male,1,Married,31,2020-06-01,2021-01-07,Inactive,2021-01-07,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981.0
371,918,4984,Kameron Hilpert,Mr,Male,1,Married,31,2020-06-01,2021-10-30,Inactive,2021-10-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984.0
372,921,4985,Mrs Meagan Jenkins,Mr,Male,1,Married,1,2020-06-01,2022-04-06,Inactive,2022-04-06,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1982.0
373,923,1885,Ms Margarita Vandervort IV,Mr,Male,1,Married,7,2014-02-20,2021-08-31,Inactive,2021-08-31,,,Staff,Contarct Basis,Buddhist,Store Keeper,1970.0
374,924,3881,Eliezer Schaden,Mr,Male,5,Single,33,2018-05-08,,Inactive,2020-06-22,,,Staff,Contarct Basis,Muslim,Site Engineer,1993.0
375,925,4531,Flo Nienow,Mr,Male,5,Married,22,2019-02-01,,Active,,,,Staff,Contarct Basis,Muslim,Technical Officer,1977.0
376,926,198047,Mrs Kiarra Hickle,Mr,Male,1,Married,55,2020-08-24,,Inactive,2020-09-30,,,Labour,Contarct Basis,Buddhist,Fitter,1977.0
377,928,183008,Kevin Dooley,Mr,Male,1,Married,31,2020-01-02,,Inactive,2020-07-29,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1975.0
378,929,4039,Prof Esther Bradtke MD,Mr,Male,1,Married,31,2019-01-01,,Inactive,2020-09-10,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
379,930,4170,Prof Cody Monahan,Mr,Male,1,Single,1,2019-01-01,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1996.0
380,932,4565,Prof Oscar Shields,Mr,Male,1,Married,31,2019-01-01,2021-04-09,Inactive,2021-04-09,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
381,933,4693,Ferne Beier V,Mr,Male,1,Married,31,2019-04-03,2021-04-09,Inactive,2021-04-09,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977.0
382,934,4474,Mr Keshawn DuBuque,Mr,Male,1,Married,31,2019-01-01,2021-04-09,Inactive,2021-04-09,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1960.0
383,939,70030,Rasheed Abshire,Mr,Male,1,Married,31,2019-07-01,,Inactive,2020-03-06,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
384,940,4950,Mr Michael Cassin,Mr,Male,1,Single,70,2020-02-17,,Inactive,2020-08-17,,,Staff,Contarct Basis,Buddhist,Data Entry Operator,1997.0
385,941,4951,Hardy Casper,Ms,Female,1,Single,2,2020-02-12,2022-07-31,Inactive,2022-07-31,,,Staff,Contarct Basis,Buddhist,Secretary,1993.0
386,942,4953,Lilliana Wisozk,Mr,Male,1,Single,48,2020-02-24,,Active,,,,Staff,Contarct Basis,Buddhist,Draughtsman,1994.0
387,943,4954,Mr Cameron McCullough,Mr,Male,1,Single,88,2020-03-02,2021-04-27,Inactive,2021-04-27,,,Staff,Contarct Basis,Buddhist,Trainee QS,1997.0
388,944,4955,Louie Hackett,Mr,Male,1,Single,48,2020-03-02,,Inactive,2020-08-31,,,Staff,Contarct Basis,Buddhist,Draughtsman,1992.0
389,945,4956,Ernest Effertz,Mr,Male,1,Married,6,2020-02-24,,Active,,945.0,,Staff,Contarct Basis,Buddhist,Project Manager,1964.0
390,947,4959,Edmond Schulist,Mr,Male,1,Married,107,2020-03-06,,Active,,,,Staff,Contarct Basis,Buddhist,Social Environment Officer,1962.0
391,948,4960,Genevieve Hahn,Mr,Male,1,Single,8,2020-03-16,,Active,,,,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988.0
392,949,4948,Sunny Heller,Mr,Male,1,Married,8,2020-02-12,,Inactive,2020-09-21,,,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988.0
393,950,4961,Isai Jacobson IV,Mr,Male,1,Single,7,2020-05-11,,Active,,,,Staff,Contarct Basis,Buddhist,Store Keeper,1987.0
394,951,3872,Maybell Okuneva,Mr,Male,1,Single,27,2018-04-01,2020-12-31,Inactive,2020-12-31,,,Staff,Contarct Basis,Buddhist,Supervisor,1995.0
395,952,50022,Benjamin Willms,Mr,Male,1,Married,120,2020-05-18,,Inactive,2020-10-08,,,Management,Contarct Basis,Buddhist,HR Manager,1956.0
396,953,2722,Orland Hansen,Mr,Male,1,Married,29,2019-01-01,,Inactive,2020-09-24,,,Labour,Contarct Basis,Buddhist,Cook,1971.0
397,958,75016,Mariana Borer,Mr,Male,1,Married,1,2019-10-08,,Inactive,2020-06-17,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1982.0
398,959,5157,Ellis Mayer,Mr,Male,1,Married,1,2021-02-01,2021-04-29,Inactive,2021-04-29,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1984.0
399,961,75023,Cecile Jacobson,Mr,Male,1,Married,31,2019-10-08,,Inactive,2020-03-11,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0
400,962,5158,Krystal Dietrich,Mr,Male,1,Married,31,2021-02-01,,Active,,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997.0
401,965,75028,Mr Connor Hauck,Mr,Male,1,Married,31,2019-10-25,,Inactive,2020-06-10,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
402,968,193116,Sammy Heidenreich,Mr,Male,1,Married,31,2020-12-08,2021-04-29,Inactive,2021-04-29,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
403,969,5165,Cristopher Keebler,Mr,Male,1,Married,31,2021-02-01,2021-03-31,Inactive,2021-03-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
404,970,75150,Prof Freeda Strosin II,Mr,Male,1,Married,53,2019-11-22,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Pipe Fitter,2000.0
405,971,4809,Eula Klein,Mr,Male,1,Married,22,2019-06-03,2021-04-10,Inactive,2021-04-10,,,Staff,Contarct Basis,Buddhist,Technical Officer,1985.0
406,973,189011,Dario Romaguera,Mr,Male,5,Single,31,2020-02-14,,Inactive,2020-03-17,,,Labour,Contarct Basis,Muslim,Unskilled Labor,2003.0
407,975,4881,Julius Douglas,Mr,Male,1,Single,128,2019-09-23,2021-11-06,Inactive,2021-11-06,,,Staff,Contarct Basis,Buddhist,Construction Supervisor,1996.0
408,976,70052,Dr Hettie Robel,Mr,Male,1,Married,31,2019-08-01,,Inactive,2020-04-24,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997.0
409,977,70058,Domingo Harber I,Mr,Male,1,Married,31,2019-08-01,,Inactive,2020-05-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996.0
410,979,75042,Mrs Alvera McClure Sr,Mr,Male,1,Married,31,2019-10-14,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968.0
411,983,5161,Magnus Gerlach III,Mr,Male,1,Married,31,2021-02-01,,Active,,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985.0
412,984,1079,Jamel Davis,Mr,Male,1,Married,32,2010-07-16,,Inactive,2020-06-27,,,Staff,Contarct Basis,Buddhist,OPE-Compresure Breaker,1959.0
413,986,4986,Zoey Rempel,Mr,Male,1,Married,31,2020-06-01,2021-02-19,Inactive,2021-02-19,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992.0
414,987,4987,Dr Waylon Cassin DVM,Mr,Male,1,Married,1,2020-06-01,2021-07-27,Inactive,2021-07-27,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1996.0
415,988,75062,Horace Connelly,Mr,Male,1,Married,31,2019-10-15,,Inactive,2020-06-23,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969.0
416,989,75067,Katharina Kling,Mr,Male,1,Married,31,2019-10-07,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997.0
417,990,75069,Miss Makayla Weber IV,Mr,Male,1,Single,31,2019-10-10,2020-12-30,Inactive,2020-12-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995.0
418,991,75178,Jarred D'Amore,Mr,Male,1,Married,31,2019-11-01,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996.0
419,992,4990,Erika Kihn,Mr,Male,1,Married,31,2020-06-01,2022-03-12,Inactive,2022-03-12,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
420,994,4991,Mr Jefferey Bernier,Mr,Male,1,Married,31,2020-06-01,2021-07-23,Inactive,2021-07-23,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985.0
421,999,5037,Lily Fritsch,Mr,Male,1,Married,1,2020-01-04,2022-02-28,Inactive,2022-02-28,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1980.0
422,1000,198002,Tamara Grant IV,Mr,Male,1,Married,1,2020-01-04,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1971.0
423,1002,5038,Ms Amanda Yost,Mr,Male,1,Married,1,2020-01-16,2021-03-29,Inactive,2021-03-29,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1988.0
424,1003,198005,Mollie Lemke MD,Mr,Male,1,Married,31,2020-01-09,,Inactive,2020-03-12,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977.0
425,1006,4422,Melvin Schroeder,Mr,Male,1,Married,37,2018-12-01,2021-03-15,Inactive,2021-03-15,,,Staff,Contarct Basis,Buddhist,Driver-Tractor,1974.0
426,1007,198009,Maximus Luettgen,Mr,Male,1,Married,31,2020-02-25,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1988.0
427,1008,5078,Caroline Williamson I,Mr,Male,1,Married,31,2020-02-25,,Active,,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969.0
428,1009,198062,Jewel Lakin,Mr,Male,1,Married,1,2020-02-18,,Inactive,2020-04-30,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1974.0
429,1010,198012,Nikki McLaughlin,Mr,Male,1,Single,31,2020-02-19,,Inactive,2020-03-06,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003.0
430,1013,5079,Prof Brent Mills MD,Mr,Male,1,Single,31,2020-03-04,2021-07-31,Inactive,2021-07-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0
431,1015,75152,Rebekah Yost,Mr,Male,1,Married,31,2019-11-22,,Inactive,2020-06-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
432,1016,5206,Prof Dorothea Lubowitz,Mr,Male,1,Married,31,2021-02-01,2021-02-13,Inactive,2021-02-13,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
433,1017,75154,Kailey Schumm,Mr,Male,1,Married,31,2019-11-22,,Inactive,2019-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
434,1018,75155,Bessie Lueilwitz,Mr,Male,1,Married,31,2019-11-22,,Inactive,2020-06-10,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
435,1019,75156,Prof Hertha Bernier I,Mr,Male,1,Married,31,2019-11-22,,Inactive,2020-06-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
436,1020,75159,Mr Johann Hirthe V,Mr,Male,1,Married,31,2019-11-11,,Inactive,2019-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1957.0
437,1033,75280,Mrs Verona Spencer DDS,Mr,Male,1,Single,31,2019-12-07,,Inactive,2020-06-17,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001.0
438,1037,75287,Gudrun Schumm Sr,Mr,Male,1,Married,31,2019-12-02,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972.0
439,1045,189014,Bria Wiza,Mr,Male,1,Married,31,2020-03-07,,Inactive,2020-03-17,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968.0
440,1046,199016,Effie Feil V,Mr,Male,3,Single,30,2020-02-28,,Inactive,2020-06-03,,,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1994.0
441,1047,5096,Israel Hettinger,Mr,Male,1,Married,31,2020-03-05,2020-12-20,Inactive,2020-12-20,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1960.0
442,1050,189017,Mr Brando Sauer PhD,Mr,Male,1,Married,31,2020-03-12,,Inactive,2020-09-29,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982.0
443,1051,3903,Davin Mueller IV,Mr,Male,1,Married,1,2019-01-01,,Inactive,2019-12-31,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1976.0
444,1052,189018,Robert Swift,Mr,Male,1,Single,31,2020-03-12,,Inactive,2020-03-17,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2000.0
445,1054,199021,Dr Travon Gutmann V,Mr,Male,3,Single,122,2020-03-20,2021-10-26,Inactive,2021-10-26,,,Labour,Contarct Basis,Hindu,Security,1992.0
446,1055,199022,Nayeli Stehr,Mr,Male,3,Single,122,2020-03-20,,Inactive,2020-04-30,,,Labour,Contarct Basis,Hindu,Security,2000.0
447,1056,181002,Dan Heathcote,Mr,Male,1,Married,31,2020-02-23,,Inactive,2020-06-23,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1964.0
448,1057,181001,Pierce Kling,Mr,Male,1,Married,31,2020-02-16,,Inactive,2020-03-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
449,1058,181003,Pasquale Block,Mr,Male,1,Married,31,2020-02-25,,Inactive,2020-03-16,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1973.0
450,1060,189040,Alene Rath,Mr,Male,1,Married,31,2020-12-07,2021-06-21,Inactive,2021-06-21,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
451,1061,5095,Dr Ashley Doyle,Mr,Male,1,Single,31,2020-03-16,2021-01-06,Inactive,2021-01-06,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998.0
452,1063,75286,Dejah Cormier,Mr,Male,1,Married,1,2019-12-02,,Inactive,2020-09-29,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1979.0
453,1064,5025,Rosalia Braun,Mr,Male,1,Married,31,2020-01-23,2021-02-27,Inactive,2021-02-27,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969.0
454,1065,4949,Shawn Goldner IV,Mr,Male,1,Single,80,2020-02-19,,Inactive,2020-03-21,,,Staff,Contarct Basis,Buddhist,Driver - cab,1998.0
455,1066,50020,Alfreda Stiedemann Jr,Ms,Female,1,Single,125,2020-02-13,2020-12-19,Inactive,2020-12-19,,,Staff,Contarct Basis,Buddhist,Data Colector,1993.0
456,1068,4840,Sheldon Boehm,Mr,Male,1,Single,27,2019-08-01,,Inactive,2020-09-30,,,Staff,Contarct Basis,Buddhist,Supervisor,1994.0
457,1069,4256,Brando Zboncak,Mr,Male,1,Single,35,2018-08-04,,Inactive,2020-09-26,,,Staff,Contarct Basis,Buddhist,Operator-Excavator,1997.0
458,1070,193091,Dameon Kshlerin I,Mr,Male,1,Married,31,2020-07-28,,Inactive,2020-09-10,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1987.0
459,1071,2358,Mr Dewitt Mraz DDS,Mr,Male,1,Married,55,2015-07-02,2022-09-30,Inactive,2022-09-30,,,Staff,Contarct Basis,Buddhist,Fitter,1955.0
460,1072,5185,Zena Bauch,Mr,Male,1,Married,55,2021-02-01,2022-06-09,Inactive,2022-06-09,,,Labour,Contarct Basis,Buddhist,Fitter,1976.0
461,1073,2957,Arden Upton Jr,Mr,Male,1,Married,27,2017-03-01,,Active,,1333.0,,Staff,Contarct Basis,Buddhist,Supervisor,1968.0
462,1074,75290,Prof Devan Bogisich V,Mr,Male,1,Married,31,2019-12-02,,Inactive,2020-06-10,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
463,1076,194005,Ms Adell Watsica,Mr,Male,3,Married,31,2020-02-19,,Inactive,2020-03-17,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1983.0
464,1077,4895,Marianne Dickens,Mr,Male,1,Married,116,2019-10-16,,Inactive,2020-06-30,,,Management,Contarct Basis,Buddhist,Assistant General Manager,1976.0
465,1078,50001,Bart Weber,Mr,Male,1,Married,97,2019-03-01,,Inactive,2020-09-29,,,Staff,Contarct Basis,Buddhist,Foreman,1991.0
466,1080,4856,Mrs Matilda Lehner DVM,Mr,Male,1,Married,107,2019-08-19,,Active,,,,Staff,Contarct Basis,Buddhist,Social Environment Officer,1961.0
467,1081,4761,Elza Bailey,Mr,Male,1,Married,68,2019-05-17,,Active,,,,Staff,Contarct Basis,Buddhist,Assistant Store Keeper,1957.0
468,1082,5062,Sally Hegmann,Mr,Male,1,Single,55,2020-02-29,,Inactive,2020-10-31,,,Labour,Contarct Basis,Buddhist,Fitter,1999.0
469,1083,4946,Sherman Hahn,Mr,Male,3,Single,108,2020-02-07,,Inactive,2020-06-20,,,Staff,Contarct Basis,Hindu,QAQC Engineer,1992.0
470,1084,5063,Mr Antonio Parisian,Mr,Male,1,Single,31,2020-02-29,,Inactive,2020-10-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001.0
471,1085,190018,Chadd Gorczany Sr,Mr,Male,1,Married,31,2020-12-08,2021-05-31,Inactive,2021-05-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1978.0
472,1086,4957,Prof Peyton Waelchi DVM,Mr,Male,1,Married,22,2020-03-03,2021-11-30,Inactive,2021-11-30,,,Staff,Contarct Basis,Buddhist,Technical Officer,1981.0
473,1089,75176,Flavio Monahan,Mr,Male,1,Married,31,2019-11-11,2022-08-05,Inactive,2022-08-05,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982.0
474,1090,5026,Edmund McClure,Mr,Male,1,Single,129,2020-02-01,,Inactive,2020-10-31,,,Labour,Contarct Basis,Buddhist,Stores Helper,1995.0
475,1092,4962,Jaeden Mohr,Mr,Male,1,Married,104,2020-06-01,,Inactive,2020-06-10,,,Management,Contarct Basis,Buddhist,Accountant,1980.0
476,1093,5149,Dr Fabiola Ward Jr,Mr,Male,1,Married,31,2019-09-09,2022-02-28,Inactive,2022-02-28,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970.0
477,1094,5146,Candida Wisozk,Mr,Male,1,Married,31,2019-09-18,2022-03-14,Inactive,2022-03-14,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0
478,1097,5075,Karl Rau,Mr,Male,1,Married,134,2020-02-02,,Active,,,,Labour,Contarct Basis,Buddhist,Caretaker,1952.0
479,1098,3365,Nichole Murray,Mr,Male,3,Married,71,2017-07-14,2022-03-04,Inactive,2022-03-04,,,Staff,Contarct Basis,Hindu,Land Supervisor,1980.0
480,1104,5099,Allene Sipes,Mr,Male,1,Married,31,2020-03-02,2020-12-26,Inactive,2020-12-26,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0
481,1106,196053,Isabelle Daniel,Mr,Male,1,Married,31,2020-03-02,2022-06-17,Inactive,2022-06-17,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1953.0
482,1109,50023,Martine Lesch,Mr,Male,5,Married,132,2020-05-27,2022-02-21,Inactive,2022-02-21,1109.0,,Staff,Contarct Basis,Muslim,Senior Design Engineer,1973.0
483,1110,4963,Zakary Emmerich,Mr,Male,1,Married,133,2020-06-03,,Inactive,2020-10-31,,,Staff,Contarct Basis,Buddhist,Senior Purchasing Officer,1985.0
484,1120,5113,Antone Kautzer,Mr,Male,1,Single,38,2020-04-02,,Active,,,,Labour,Contarct Basis,Buddhist,Office Assistant,1994.0
485,1121,5115,Margaretta Braun,Mr,Male,1,Married,31,2020-04-22,2021-02-18,Inactive,2021-02-18,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986.0
486,1126,70045,Mallory Runolfsson,Mr,Male,1,Married,122,2019-09-01,,Active,,,,Labour,Contarct Basis,Buddhist,Security,1979.0
487,1127,5127,Mrs Ivah Vandervort,Mr,Male,1,Married,31,2020-12-01,2022-03-25,Inactive,2022-03-25,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
488,1130,191003,Esteban Davis,Mr,Male,4,Married,31,2020-05-12,,Inactive,2020-10-31,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1968.0
489,1131,4965,Mr Devyn Swift,Mr,Male,1,Married,64,2020-06-12,,Active,,,,Staff,Contarct Basis,Buddhist,Safety Officer,1976.0
490,1132,191004,Garth Gutmann,Mr,Male,4,Married,31,2020-05-12,,Inactive,2020-06-09,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1979.0
