,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
210,673,4915,Thurman Greenfelder,Mr,Male,5,Married,73,2019-11-18,,Active,,673.0,,Staff,Contarct Basis,Muslim,Resident Engineer,1978.0
211,674,2776,Lionel Hettinger,Mr,Male,1,Married,48,2016-11-29,,Inactive,2020-09-30,,,Staff,Contarct Basis,Buddhist,Draughtsman,1978.0
212,675,3620,Elian Oberbrunner,Mr,Male,1,Married,37,2017-12-16,,Inactive,2020-09-15,,,Staff,Contarct Basis,Buddhist,Driver-Tractor,1980.0
213,676,4708,Loraine Schmeler,Mr,Male,1,Single,31,2019-04-22,,Inactive,2020-04-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958.0
214,677,3930,Manuel Rau,Mr,Male,1,Married,55,2019-01-01,2021-06-30,Inactive,2021-06-30,,,Labour,Contarct Basis,Buddhist,Fitter,1976.0
215,678,3933,Prof Barney Carroll Sr,Mr,Male,1,Single,31,2019-01-01,2020-12-28,Inactive,2020-12-28,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0
216,680,4510,Prof Rowena Skiles,Mr,Male,1,Married,31,2019-01-01,2020-12-31,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0
217,682,169036,Oleta Schroeder,Mr,Male,1,Married,31,2020-12-06,2021-05-31,Inactive,2021-05-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955.0
218,683,4516,America Haley,Mr,Male,1,Married,55,2019-01-01,2020-12-31,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Fitter,1991.0
219,684,55,Nathen Langosh MD,Mr,Male,1,Married,22,1998-06-25,2021-01-16,Inactive,2021-01-16,,,Staff,Permanant,Buddhist,Technical Officer,1978.0
220,685,4521,Mr Efren Langworth Jr,Mr,Male,1,Married,31,2019-01-01,2020-11-28,Inactive,2020-11-28,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972.0
221,686,4537,Lacey Paucek,Mr,Male,1,Married,31,2019-02-01,,Inactive,2020-09-30,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1954.0
222,689,4776,Mrs Bessie Schultz,Mr,Male,1,Married,99,2019-06-24,,Inactive,2020-12-31,,,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1959.0
223,690,4777,Miss Wanda Bayer,Mr,Male,1,Married,7,2019-06-24,2022-02-10,Inactive,2022-02-10,,,Staff,Contarct Basis,Buddhist,Store Keeper,1974.0
224,691,4813,Irving Paucek,Mr,Male,1,Single,22,2019-03-07,,Inactive,2020-12-30,,,Staff,Contarct Basis,Buddhist,Technical Officer,1991.0
225,692,4857,Dr Marion Borer,Mr,Male,1,Married,6,2019-01-08,,Inactive,2020-12-31,,,Staff,Contarct Basis,Buddhist,Project Manager,1987.0
226,693,50016,Prof Sienna Quigley,Mr,Male,1,Married,99,2019-03-10,,Inactive,2020-04-02,,,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1955.0
227,695,4615,Chanel Spencer,Mr,Male,1,Married,31,2019-02-01,2020-11-25,Inactive,2020-11-25,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1965.0
228,697,4742,Cletus Bayer Sr,Mr,Male,1,Married,31,2019-05-01,2021-08-31,Inactive,2021-08-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981.0
